RunTime,ExecutableName
2024-11-15 06:04:52,\VOLUME{01d6d66dcb41e47c-d2cb8b11}\PROGRAM FILES\BRAVESOFTWARE\BRAVE-BROWSER\APPLICATION\BRAVE.EXE
2024-11-15 06:02:58,\VOLUME{01d6d66dcb41e47c-d2cb8b11}\PROGRAM FILES\BRAVESOFTWARE\BRAVE-BROWSER\APPLICATION\BRAVE.EXE
2024-11-14 18:43:35,\VOLUME{01d6d66dcb41e47c-d2cb8b11}\PROGRAM FILES\BRAVESOFTWARE\BRAVE-BROWSER\APPLICATION\BRAVE.EXE
2024-11-17 09:10:47,\VOLUME{01d6d66dcb41e47c-d2cb8b11}\PROGRAM FILES\BRAVESOFTWARE\BRAVE-BROWSER\APPLICATION\BRAVE.EXE
2024-11-17 08:55:45,\VOLUME{01d6d66dcb41e47c-d2cb8b11}\PROGRAM FILES\BRAVESOFTWARE\BRAVE-BROWSER\APPLICATION\BRAVE.EXE
2024-11-16 10:31:46,\VOLUME{01d6d66dcb41e47c-d2cb8b11}\PROGRAM FILES\BRAVESOFTWARE\BRAVE-BROWSER\APPLICATION\BRAVE.EXE
2024-11-16 09:12:35,\VOLUME{01d6d66dcb41e47c-d2cb8b11}\PROGRAM FILES\BRAVESOFTWARE\BRAVE-BROWSER\APPLICATION\BRAVE.EXE
2024-11-16 08:08:49,\VOLUME{01d6d66dcb41e47c-d2cb8b11}\PROGRAM FILES\BRAVESOFTWARE\BRAVE-BROWSER\APPLICATION\BRAVE.EXE
2024-11-15 19:46:07,\VOLUME{01d6d66dcb41e47c-d2cb8b11}\PROGRAM FILES\BRAVESOFTWARE\BRAVE-BROWSER\APPLICATION\BRAVE.EXE
2024-11-15 19:45:07,\VOLUME{01d6d66dcb41e47c-d2cb8b11}\PROGRAM FILES\BRAVESOFTWARE\BRAVE-BROWSER\APPLICATION\BRAVE.EXE
2024-11-15 19:44:07,\VOLUME{01d6d66dcb41e47c-d2cb8b11}\PROGRAM FILES\BRAVESOFTWARE\BRAVE-BROWSER\APPLICATION\BRAVE.EXE
2024-11-15 06:04:40,\VOLUME{01d6d66dcb41e47c-d2cb8b11}\USERS\MUNIB\DOWNLOADS\ASSIGNMENT\BRAVEBROWSERSETUP-BRV010.EXE
2024-11-14 18:42:10,\VOLUME{01d6d66dcb41e47c-d2cb8b11}\USERS\MUNIB\DOWNLOADS\ASSIGNMENT\BRAVEBROWSERSETUP-BRV010.EXE
2024-11-15 06:04:42,\VOLUME{01d6d66dcb41e47c-d2cb8b11}\WINDOWS\SYSTEMTEMP\GUM6C6F.TMP\BRAVEUPDATE.EXE
2024-11-15 06:04:40,\VOLUME{01d6d66dcb41e47c-d2cb8b11}\USERS\MUNIB\APPDATA\LOCAL\TEMP\GUM647F.TMP\BRAVEUPDATE.EXE
2024-11-17 08:49:26,\VOLUME{01d6d66dcb41e47c-d2cb8b11}\PROGRAM FILES (X86)\BRAVESOFTWARE\UPDATE\BRAVEUPDATE.EXE
2024-11-16 19:15:46,\VOLUME{01d6d66dcb41e47c-d2cb8b11}\PROGRAM FILES (X86)\BRAVESOFTWARE\UPDATE\BRAVEUPDATE.EXE
2024-11-16 14:15:45,\VOLUME{01d6d66dcb41e47c-d2cb8b11}\PROGRAM FILES (X86)\BRAVESOFTWARE\UPDATE\BRAVEUPDATE.EXE
2024-11-16 08:07:36,\VOLUME{01d6d66dcb41e47c-d2cb8b11}\PROGRAM FILES (X86)\BRAVESOFTWARE\UPDATE\BRAVEUPDATE.EXE
2024-11-15 20:16:31,\VOLUME{01d6d66dcb41e47c-d2cb8b11}\PROGRAM FILES (X86)\BRAVESOFTWARE\UPDATE\BRAVEUPDATE.EXE
2024-11-15 16:33:36,\VOLUME{01d6d66dcb41e47c-d2cb8b11}\PROGRAM FILES (X86)\BRAVESOFTWARE\UPDATE\BRAVEUPDATE.EXE
2024-11-15 14:47:48,\VOLUME{01d6d66dcb41e47c-d2cb8b11}\PROGRAM FILES (X86)\BRAVESOFTWARE\UPDATE\BRAVEUPDATE.EXE
2024-11-15 14:31:19,\VOLUME{01d6d66dcb41e47c-d2cb8b11}\PROGRAM FILES (X86)\BRAVESOFTWARE\UPDATE\BRAVEUPDATE.EXE
2024-11-14 18:42:10,\VOLUME{01d6d66dcb41e47c-d2cb8b11}\USERS\MUNIB\APPDATA\LOCAL\TEMP\GUM8B40.TMP\BRAVEUPDATE.EXE
2024-11-14 18:42:14,\VOLUME{01d6d66dcb41e47c-d2cb8b11}\WINDOWS\SYSTEMTEMP\GUM9A26.TMP\BRAVEUPDATE.EXE
